https://wiki.gtanet.work/index.php?title=Peds
A_C_Boar = 3462393972,0xCE5FF074
S_F_Y_Hooker_02 = 348382215,0x14C3E407
S_F_Y_Hooker_03 = 51789996,0x031640AC
S_F_Y_Migrant_01 = 3579522037,0xD55B2BF5
S_F_Y_MovPrem_01 = 587253782,0x2300C816
S_F_Y_Ranger_01 = 2680682039,0x9FC7F637
S_F_Y_Scrubs_01 = 2874755766,0xAB594AB6
S_F_Y_Sheriff_01 = 1096929346,0x4161D042
S_F_Y_Shop_LOW = 2842568196,0xA96E2604
S_F_Y_Shop_MID = 1055701597,0x3EECBA5D
S_F_Y_StripperLite = 1544875514,0x5C14EDFA
S_F_Y_Stripper_01 = 1381498905,0x52580019
S_F_Y_Stripper_02 = 1846523796,0x6E0FB794
S_F_Y_SweatShop_01 = 2231547570,0x8502B6B2
S_M_M_AmmuCountry = 233415434,0x0DE9A30A
S_M_M_Armoured_01 = 2512875213,0x95C76ECD
S_M_M_Armoured_02 = 1669696074,0x63858A4A
S_M_M_AutoShop_01 = 68070371,0x040EABE3
S_M_M_AutoShop_02 = 4033578141,0xF06B849D
S_M_M_Bouncer_01 = 2681481517,0x9FD4292D
S_M_M_ChemSec_01 = 788443093,0x2EFEAFD5
S_M_M_CIASec_01 = 1650288984,0x625D6958
S_M_M_CntryBar_01 = 436345731,0x1A021B83
S_M_M_DockWork_01 = 349680864,0x14D7B4E0
S_M_M_Doctor_01 = 3564307372,0xD47303AC
S_M_M_FIBOffice_01 = 3988550982,0xEDBC7546
S_M_M_FIBOffice_02 = 653289389,0x26F067AD
S_M_M_Gaffer_01 = 2841034142,0xA956BD9E
S_M_M_Gardener_01 = 1240094341,0x49EA5685
S_M_M_GenTransport = 411102470,0x1880ED06
S_M_M_HairDress_01 = 1099825042,0x418DFF92
S_M_M_HighSec_01 = 4049719826,0xF161D212
S_M_M_HighSec_02 = 691061163,0x2930C1AB
S_M_M_Janitor = 2842417644,0xA96BD9EC
S_M_M_LatHandy_01 = 2659242702,0x9E80D2CE
S_M_M_LifeInvad_01 = 3724572669,0xDE0077FD
S_M_M_Linecook = 3684436375,0xDB9C0997
S_M_M_LSMetro_01 = 1985653476,0x765AAAE4
S_M_M_Mariachi_01 = 2124742566,0x7EA4FFA6
S_M_M_Marine_01 = 4074414829,0xF2DAA2ED
S_M_M_Marine_02 = 4028996995,0xF0259D83
S_M_M_Migrant_01 = 3977045190,0xED0CE4C6
S_M_M_MovAlien_01 = 1684083350,0x64611296
S_M_M_MovPrem_01 = 3630066984,0xD85E6D28
S_M_M_MovSpace_01 = 3887273010,0xE7B31432
S_M_M_Paramedic_01 = 3008586398,0xB353629E
S_M_M_Pilot_01 = 3881519900,0xE75B4B1C
S_M_M_Pilot_02 = 4131252449,0xF63DE8E1
S_M_M_Postal_01 = 1650036788,0x62599034
S_M_M_Postal_02 = 1936142927,0x7367324F
S_M_M_PrisGuard_01 = 1456041926,0x56C96FC6
S_M_M_Scientist_01 = 1092080539,0x4117D39B
S_M_M_Security_01 = 3613962792,0xD768B228
S_M_M_SnowCop_01 = 451459928,0x1AE8BB58
S_M_M_StrPerf_01 = 2035992488,0x795AC7A8
S_M_M_StrPreach_01 = 469792763,0x1C0077FB
S_M_M_StrVend_01 = 3465614249,0xCE9113A9
S_M_M_Trucker_01 = 1498487404,0x59511A6C
S_M_M_UPS_01 = 2680389410,0x9FC37F22
S_M_M_UPS_02 = 3502104854,0xD0BDE116
S_M_O_Busker_01 = 2912874939,0xAD9EF1BB
S_M_Y_AirWorker = 1644266841,0x62018559
S_M_Y_AmmuCity_01 = 2651349821,0x9E08633D
S_M_Y_ArmyMech_01 = 1657546978,0x62CC28E2
S_M_Y_Autopsy_01 = 2988916046,0xB2273D4E
S_M_Y_Barman_01 = 3852538118,0xE5A11106
S_M_Y_BayWatch_01 = 189425762,0x0B4A6862
S_M_Y_BlackOps_01 = 3019107892,0xB3F3EE34
S_M_Y_BlackOps_02 = 2047212121,0x7A05FA59
S_M_Y_BusBoy_01 = 3640249671,0xD8F9CD47
S_M_Y_Chef_01 = 261586155,0x0F977CEB
S_M_Y_Clown_01 = 71929310,0x04498DDE
S_M_Y_Construct_01 = 3621428889,0xD7DA9E99
S_M_Y_Construct_02 = 3321821918,0xC5FEFADE
S_M_Y_Cop_01 = 1581098148,0x5E3DA4A4
S_M_Y_Dealer_01 = 3835149295,0xE497BBEF
S_M_Y_DevinSec_01 = 2606068340,0x9B557274
S_M_Y_DockWork_01 = 2255894993,0x867639D1
S_M_Y_Doorman_01 = 579932932,0x22911304
S_M_Y_DWService_01 = 1976765073,0x75D30A91
S_M_Y_DWService_02 = 4119890438,0xF5908A06
S_M_Y_Factory_01 = 1097048408,0x4163A158
S_M_Y_Fireman_01 = 3065114024,0xB6B1EDA8
S_M_Y_Garbage = 4000686095,0xEE75A00F
S_M_Y_Grip_01 = 815693290,0x309E7DEA
S_M_Y_HwayCop_01 = 1939545845,0x739B1EF5
S_M_Y_Marine_01 = 1702441027,0x65793043
S_M_Y_Marine_02 = 1490458366,0x58D696FE
S_M_Y_Marine_03 = 1925237458,0x72C0CAD2
S_M_Y_Mime = 1021093698,0x3CDCA742
S_M_Y_PestCont_01 = 1209091352,0x48114518
S_M_Y_Pilot_01 = 2872052743,0xAB300C07
S_M_Y_PrisMuscl_01 = 1596003233,0x5F2113A1
S_M_Y_Prisoner_01 = 2981862233,0xB1BB9B59
S_M_Y_Ranger_01 = 4017173934,0xEF7135AE
S_M_Y_Robber_01 = 3227390873,0xC05E1399
S_M_Y_Sheriff_01 = 2974087609,0xB144F9B9
S_M_Y_Shop_MASK = 1846684678,0x6E122C06
S_M_Y_StrVend_01 = 2457805603,0x927F2323
S_M_Y_Swat_01 = 2374966032,0x8D8F1B10
S_M_Y_USCG_01 = 3389018345,0xCA0050E9
S_M_Y_Valet_01 = 999748158,0x3B96F23E
S_M_Y_Waiter_01 = 2907468364,0xAD4C724C
S_M_Y_WinClean_01 = 1426951581,0x550D8D9D
S_M_Y_XMech_01 = 1142162924,0x441405EC
S_M_Y_XMech_02 = 3189832196,0xBE20FA04
U_F_M_Corpse_01 = 773063444,0x2E140314
U_F_M_Miranda = 1095737979,0x414FA27B
U_F_M_ProMourn_01 = 2718472679,0xA20899E7
U_F_O_MovieStar = 894928436,0x35578634
U_F_O_ProlHost_01 = 3306347811,0xC512DD23
U_F_Y_BikerChic = 4198014287,0xFA389D4F
U_F_Y_COMJane = 3064628686,0xB6AA85CE
U_F_Y_corpse_01 = 2624589981,0x9C70109D
U_F_Y_corpse_02 = 228356856,0x0D9C72F8
U_F_Y_HotPosh_01 = 2526768638,0x969B6DFE
U_F_Y_JewelAss_01 = 4040474158,0xF0D4BE2E
U_F_Y_Mistress = 1573528872,0x5DCA2528
U_F_Y_PoppyMich = 602513566,0x23E9A09E
U_F_Y_Princess = 3538133636,0xD2E3A284
U_F_Y_SpyActress = 1535236204,0x5B81D86C
U_M_M_Aldinapoli = 4042020578,0xF0EC56E2
U_M_M_BankMan = 3272005365,0xC306D6F5
U_M_M_BikeHire_01 = 1984382277,0x76474545
U_M_M_FIBArchitect = 874722259,0x342333D3
U_M_M_FilmDirector = 728636342,0x2B6E1BB6
U_M_M_GlenStank_01 = 1169888870,0x45BB1666
U_M_M_Griff_01 = 3293887675,0xC454BCBB
U_M_M_Jesus_01 = 3459037009,0xCE2CB751
U_M_M_JewelSec_01 = 2899099062,0xACCCBDB6
U_M_M_JewelThief = 3872144604,0xE6CC3CDC
U_M_M_MarkFost = 479578891,0x1C95CB0B
U_M_M_PartyTarget = 2180468199,0x81F74DE7
U_M_M_ProlSec_01 = 1888624839,0x709220C7
U_M_M_ProMourn_01 = 3465937675,0xCE96030B
U_M_M_RivalPap = 1624626906,0x60D5D6DA
U_M_M_SpyActor = 2886641112,0xAC0EA5D8
U_M_M_WillyFist = 2423691919,0x90769A8F
U_M_O_FinGuru_01 = 1189322339,0x46E39E63
U_M_O_TapHillBilly = 2585681490,0x9A1E5E52
U_M_O_Tramp_01 = 1787764635,0x6A8F1F9B
U_M_Y_Abner = 4037813798,0xF0AC2626
U_M_Y_AntonB = 3479321132,0xCF623A2C
U_M_Y_BabyD = 3658575486,0xDA116E7E
U_M_Y_Baygor = 1380197501,0x5244247D
U_M_Y_BurgerDrug_01 = 2340239206,0x8B7D3766
U_M_Y_Chip = 610290475,0x24604B2B
U_M_Y_Cyclist_01 = 755956971,0x2D0EFCEB
U_M_Y_FIBMugger_01 = 2243544680,0x85B9C668
U_M_Y_Guido_01 = 3333724719,0xC6B49A2F
U_M_Y_GunVend_01 = 3005388626,0xB3229752
U_M_Y_Hippie_01 = 4030826507,0xF041880B
U_M_Y_ImpoRage = 880829941,0x348065F5
U_M_Y_Justin = 2109968527,0x7DC3908F
U_M_Y_Mani = 3367706194,0xC8BB1E52
U_M_Y_MilitaryBum = 1191548746,0x4705974A
U_M_Y_Paparazzi = 1346941736,0x5048B328
U_M_Y_Party_01 = 921110016,0x36E70600
U_M_Y_Pogo_01 = 3696858125,0xDC59940D
U_M_Y_Prisoner_01 = 2073775040,0x7B9B4BC0
U_M_Y_ProlDriver_01 = 2237544099,0x855E36A3
U_M_Y_RSRanger_01 = 1011059922,0x3C438CD2
U_M_Y_SBike = 1794381917,0x6AF4185D
U_M_Y_StagGrm_01 = 2442448387,0x9194CE03
U_M_Y_Tattoo_01 = 2494442380,0x94AE2B8C
U_M_Y_Zombie_01 = 2890614022,0xAC4B4506
